,Age,Gender,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,country_Australia,country_Canada,country_France,country_Germany,country_India,country_Ireland,country_Netherlands,country_New Zealand,country_United Kingdom,country_United States,state_CA,state_WA,state_NY,state_TN,state_TX,state_OH,state_OR,state_PA,state_IL,state_IN
0,37,0,0,0,1,4,1,0,1,2,1,0,2,2,2,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,44,1,0,0,0,2,5,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,32,1,0,0,0,2,1,0,1,0,0,0,0,1,3,0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,31,1,0,1,1,4,2,0,1,0,2,0,0,0,3,2,2,1,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,31,1,0,0,0,1,3,1,1,2,0,1,1,1,0,0,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5,33,1,0,1,0,3,1,0,1,2,1,0,1,1,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,35,0,0,1,1,3,0,1,1,0,0,0,0,0,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,39,1,0,0,0,1,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,42,0,0,1,1,3,3,0,1,2,2,0,0,0,4,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
9,23,1,0,0,0,1,2,0,1,1,0,1,1,1,0,0,0,2,2,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,31,1,0,0,1,3,1,1,1,1,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
11,42,0,0,1,1,3,2,0,0,2,2,0,0,1,3,2,2,2,2,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
12,36,1,0,1,0,1,4,0,1,1,1,0,1,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,27,1,0,0,0,1,1,0,1,1,1,1,1,1,2,0,0,1,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,29,0,0,1,1,2,2,0,1,2,1,0,0,1,2,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
15,23,1,0,0,1,3,2,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,32,1,0,0,1,3,1,0,1,2,2,0,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
17,46,1,1,1,0,3,0,1,1,2,1,2,1,2,1,0,0,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,36,1,1,1,0,0,1,1,1,0,0,2,0,2,2,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,29,1,0,1,1,3,3,0,1,2,2,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
20,31,1,1,0,0,1,0,1,1,0,0,0,0,2,3,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,46,1,0,0,1,4,2,1,1,2,2,0,0,1,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,41,1,0,0,1,1,5,0,0,1,0,0,1,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,33,1,0,1,1,2,2,0,1,2,1,1,2,2,0,0,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
24,35,1,0,1,1,3,5,0,0,2,2,0,1,0,1,2,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
25,33,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
26,35,0,0,1,1,2,1,1,1,2,2,1,1,1,0,0,0,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
27,34,1,0,0,1,3,2,1,1,1,1,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
28,37,1,0,0,0,3,1,0,1,0,0,0,0,1,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,32,1,0,0,0,1,1,1,1,0,0,0,0,1,0,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,31,1,1,1,0,2,0,1,1,0,2,0,0,1,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
31,30,1,0,1,1,3,4,1,1,1,0,0,0,2,2,1,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,42,1,0,1,1,3,2,1,1,2,2,2,2,2,1,1,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
33,40,0,0,0,1,3,0,0,1,2,2,0,0,1,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,27,1,0,0,1,2,1,0,1,0,2,0,0,1,1,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
35,29,1,0,0,0,2,0,0,1,0,0,0,0,1,1,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,50,1,0,0,0,0,3,0,1,2,2,0,1,1,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
37,35,1,0,0,1,2,5,1,1,2,2,0,2,2,1,0,0,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
38,24,1,0,0,1,3,1,0,1,0,0,0,0,1,0,1,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,35,1,0,0,0,0,5,1,1,2,1,1,2,1,3,2,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,27,1,0,1,1,3,0,0,1,0,2,0,0,2,4,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
